"model","vars","test_acc","RMSE","SEE","MAD"
"linear","FDL",0.961111111111111,4.97253248393084,5.0003900267399,5.09910980457882
"linear","FMSB",0.955555555555556,9.03388899000646,9.0844994083566,7.30823064893919
"linear","FDB",0.947643979057592,9.03282532553545,9.08049228092146,7.61237667203889
"linear","TDL",0.977900552486188,5.33070534387856,5.36040309647508,5.64691734915236
"linear","TPB",0.926701570680628,9.62849922979095,9.67930960491502,7.50840236184465
"linear","TMSB",0.956043956043956,9.58932983073217,9.64245671832758,7.92341341864234
"linear","TDB",0.958115183246073,9.92426403329433,9.97663518339027,8.3359816110625
"linear","FBDL",0.972677595628415,5.02599053808552,5.05368215558584,4.84692640302042
"linear","HDL",0.958333333333333,5.31671387582403,5.34864637840301,5.54158879463106
"linear","HPB",0.965986394557823,7.95154333981721,8.00619376538704,8.30509275490807
"linear","HMSB",0.971590909090909,11.5577918353872,11.6240261417288,10.2118607432389
"linear","HDB",0.93854748603352,9.0160766228918,9.06687182269477,8.21964587925858
"linear","RDL",0.988165680473373,5.74693416459077,5.78124452412585,6.14247275055676
"linear","RPB",0.948571428571429,9.91578697249304,9.9729389557097,7.57113492283694
"linear","RMSB",0.941520467836257,13.6945145155194,13.7753088124615,12.3293572222591
"linear","RDB",0.933333333333333,11.4956552579494,11.5600571918737,9.03642884687912
"linear","UDL",0.976608187134503,5.27806724050974,5.30920655044489,5.71364937996287
"linear","UMSB",0.946745562130177,17.3264271288418,17.4298694038397,15.3674556210594
"linear","upper",0.993827160493827,5.09951205239773,5.13128502055836,5.5167811674818
"linear","lower",0.966101694915254,4.85047890152735,4.87811718164567,5.22222321439183
"linear","FDB, FBDL, HDL, RMSB, UMSB",0.947712418300654,4.39910569317423,4.42814300969195,4.07903728017894
